,primaryTitle,averageRating,runtimeNumber,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,Production_Budget,Worldwide_Gross,Release_dt,gross_log,hyped
33036,Beerfest,6.3,110.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17500000,20159316,2006-08-25,16.819177121625284,False
33050,Stardust,7.6,127.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,70000000,137022245,2007-08-10,18.73565385017231,True
33053,What Just Happened,5.6,104.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000000,2412123,2008-10-17,14.696018245126357,False
33057,Disturbia,6.8,105.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20000000,118537627,2007-04-13,18.590741004000595,False
33058,Wild Hogs,5.8,100.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000,253555383,2007-03-02,19.351092834450373,False
33065,In Her Line of Fire,3.5,88.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,884,2006-04-21,6.785587645007929,False
33106,Unaccompanied Minors,5.3,90.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000,21970831,2006-12-08,16.905226313466233,False
33126,Who Killed the Electric Car?,7.7,92.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1849392,2006-06-28,14.430368035107158,True
33130,Jumper,6.1,88.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82500000,222640812,2008-02-14,19.221070326810167,False
33138,Saw III,6.2,108.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,10000000,163876815,2006-10-27,18.914625581603822,False
33139,Stop-Loss,6.4,112.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25000000,11229035,2008-03-28,16.234013481534042,False
33140,Strange Wilderness,5.3,87.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,6947084,2008-02-01,15.753832705097501,False
33144,Venus,7.1,95.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6000000,7818479,2006-12-21,15.872000720227001,True
33166,Because I Said So,5.7,102.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39000000,69538833,2007-02-02,18.057395917075258,False
33172,Phat Girlz,3.2,99.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000,7301115,2006-04-07,15.803537771146495,False
33173,Reign Over Me,7.4,124.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,20081987,2007-03-23,16.815333851871294,True
33175,Silence,7.1,161.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46500000,23726626,2016-12-23,16.98210847755889,True
33191,Something Borrowed,5.9,112.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35000000,65084116,2011-05-06,17.99119109891658,False
33195,Tulip Fever,6.2,105.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,25000000,6792768,2017-08-25,15.731369222001241,False
33212,Furry Vengeance,3.8,92.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000,39340177,2010-04-30,17.48775689557179,False
33228,Wordplay,7.3,94.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,3177636,2006-06-16,14.971648396773256,True
